STATION,NAME,DATE,TMAX
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-14,33
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-15,38
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-16,30
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-17,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-18,39
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-19,-20
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-20,-19
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-21,-17
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-22,6
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-23,18
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-24,24
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-25,20
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-26,30
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-27,34
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-28,-11
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-29,0
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-30,22
USW00024143,"GREAT FALLS AIRPORT, MT US",1990-12-31,36
USW00024143,"GREAT FALLS AIRPORT, MT US",1991-01-01,0
